capture_0_oq,capture_1_oq,capture_2_oq,capture_3_oq,capture_0_result,capture_1_result,capture_2_result,capture_3_result
3.12335044,-1.80041343,-3.38281207,-2.90513746,1,0,0,0
1.88014675,-2.11417843,-1.88238304,-2.04606131,1,0,0,0
1.69108901,-3.37025002,-3.09741888,-2.08026785,1,0,0,0
2.40909029,-2.72742826,-1.4757528,-1.25287669,1,0,0,0
-2.15486903,-1.77244041,-2.59936173,-2.56931409,0,0,0,0
1.89904273,-1.71811488,-2.06758846,-2.66052093,1,0,0,0
-2.87942626,-2.01803036,-2.56533325,-2.84565985,0,0,0,0
0.76115886,-1.59470476,-2.4971446,-2.86021046,1,0,0,0
-3.04663274,-2.51628365,-2.43939161,-2.95793619,0,0,0,0
1.97811592,1.43495724,-1.61185972,-3.12846601,1,1,0,0
-0.77997791,-2.54638363,-2.01515332,-3.09978276,0,0,0,0
-3.2577347,-1.47664016,-3.06042414,-2.78323516,0,0,0,0
2.03449428,-2.65934374,-2.75894515,-2.02498175,1,0,0,0
2.11736932,1.67716872,-2.79718228,-2.0728644,1,1,0,0
-1.01541728,-2.21097488,-2.58046035,-3.23877521,0,0,0,0
-3.38646844,-2.36189235,-3.28773446,-1.47000207,0,0,0,0
1.70318708,-3.07563487,-1.83899403,-2.06173491,1,0,0,0
-1.17052561,-1.60307512,-2.28298362,-3.06974109,0,0,0,0
-1.65456291,-4.1824352,-1.89414676,-3.78537625,0,0,0,0
-1.75298341,-1.6253056,-2.94907596,-2.81499773,0,0,0,0
2.16498636,-1.27512012,-3.11605502,-1.54015906,1,0,0,0
-3.48370261,-2.80658901,-1.95572544,-2.73663122,0,0,0,0
1.28366649,-3.81871387,-2.39007436,-2.64999475,1,0,0,0
-1.12147117,-3.04584373,-1.1230858,-1.22642145,0,0,0,0
1.61916055,-0.95259417,-1.96286812,-1.94637068,1,0,0,0
0.77554351,-2.56349239,-1.85837615,-4.1521553,1,0,0,0
-1.23158777,-1.33837583,-1.34555008,-2.9269129,0,0,0,0
-1.66521203,-2.7359046,-4.20515575,-3.04088499,0,0,0,0
-4.50117365,-2.40068045,-1.841514,-1.52576109,0,0,0,0
-3.02902963,-2.20097005,-3.64656821,-2.04963647,0,0,0,0
1.32736638,-2.83125415,-2.00071521,-2.73056459,1,0,0,0
-3.63872275,-2.25259177,-3.69827636,-1.42365601,0,0,0,0
1.98698603,-2.85973009,-2.95876171,-3.28261331,1,0,0,0
-2.49780975,-3.41574959,-4.50068116,-2.36951765,0,0,0,0
-3.0731149,-1.89147908,-2.80520935,-2.8029643,0,0,0,0
-2.36735363,-2.47153342,-3.93758006,-1.85783692,0,0,0,0
-1.89848226,-2.88631897,-3.5365209,-2.06760336,0,0,0,0
-3.61005738,-0.95935371,-3.82274725,-2.6502857,0,0,0,0
2.10543629,-2.49957033,-2.44333316,-4.28966582,1,0,0,0
-3.10578961,-2.95506194,-3.87017764,-1.92155968,0,0,0,0
-2.71924436,-2.64931228,-2.60218196,-2.99213193,0,0,0,0
1.32639268,-3.08589265,-2.58752555,-2.35694312,1,0,0,0
2.96466928,-2.24669501,-2.98225917,-2.15617754,1,0,0,0
2.09368207,-3.58534604,-3.2033015,-2.71405838,1,0,0,0
-3.68136279,-3.39060128,-2.90713441,-2.96338685,0,0,0,0
2.5080679,-3.87482159,-3.42561714,-1.27009749,1,0,0,0
-2.42041536,-2.61510555,-2.96049118,-1.79180149,0,0,0,0
-0.91256546,-0.76466314,-3.85585912,-3.30430977,0,0,0,0
2.26703733,-1.94944814,-3.48653384,-3.90242711,1,0,0,0
-1.30411554,-3.41917314,-3.89688239,-2.3897877,0,0,0,0
2.4950292,-2.47691441,-2.79031359,-1.2964204,1,0,0,0
